 s_pro_id,student_id,program_id,program_start,program_end,program_status,grad_date
292,5520,13,8/13/2012,5/18/2015,Graduated,6/13/2015
293,5547,13,8/1/2021,,In Process,
294,5547,13,1/4/2018,,Terminated,
295,5567,13,8/19/2013,,Transferred,
296,5574,13,8/18/2014,5/14/2018,Graduated,6/16/2018
297,5611,13,8/18/2014,5/15/2017,Graduated,6/24/2017
298,5640,13,8/12/2013,,Terminated,
299,5657,13,8/18/2014,12/4/2017,Graduated,6/16/2018
300,5681,13,8/12/2013,,Terminated,
301,5691,13,8/12/2013,,Terminated,
302,5705,13,8/12/2013,,Terminated,
303,5726,13,8/12/2013,,Dropped,
304,5731,13,8/19/2013,12/4/2017,Graduated,6/16/2018
305,5768,13,8/12/2013,5/14/2018,Graduated,6/16/2018
306,5797,13,8/17/2015,12/4/2017,Graduated,6/16/2018
307,5819,13,8/17/2015,12/4/2017,Graduated,6/16/2018
308,5837,13,8/12/2013,,Terminated,
309,5841,13,1/18/2016,12/10/2018,Graduated,6/15/2019
310,5863,13,8/19/2019,,In Process,
311,5891,13,8/19/2013,,Terminated,
312,5899,13,8/15/2022,,In Process,
313,5911,13,8/15/2016,5/14/2018,Graduated,6/16/2018
314,5928,13,6/19/2017,5/16/2019,Graduated,6/15/2019
315,5946,13,8/18/2014,5/20/2022,Graduated,10/15/2022
316,5946,13,8/19/2019,,Dropped,
317,5985,13,8/15/2016,7/31/2020,Graduated,10/24/2020
318,6012,13,8/18/2014,,Dropped,
319,6022,13,8/18/2014,5/15/2017,Graduated,6/24/2017
320,6051,13,8/14/2017,5/16/2019,Graduated,6/15/2019
321,6068,13,8/1/2020,,Terminated,
322,6071,13,8/1/2018,,Dropped,
323,6077,13,1/4/2018,,In Process,
324,6118,13,8/18/2014,,Terminated,
325,6123,13,8/14/2017,5/16/2019,Graduated,6/15/2019
326,6142,13,8/14/2017,5/16/2019,Graduated,6/15/2019
327,6160,13,8/1/2020,,In Process,
328,6160,13,8/14/2017,,Terminated,
329,6179,13,8/1/2020,,Terminated,
330,6185,13,8/14/2017,5/16/2019,Graduated,6/15/2019
331,6203,13,8/19/2019,12/9/2021,Graduated,10/15/2022
332,6224,13,8/19/2019,5/20/2022,Graduated,10/15/2022
333,6244,13,8/13/2018,12/9/2020,Graduated,10/23/2021
334,6268,13,8/17/2015,5/16/2019,Graduated,6/15/2019
335,6297,13,8/17/2015,,Dropped,
336,6298,13,8/17/2015,5/14/2018,Graduated,6/16/2018
337,6328,13,8/1/2021,,In Process,
338,6335,13,1/17/2023,,In Process,
339,6338,13,8/17/2015,12/10/2018,Graduated,6/15/2019
340,6368,13,8/17/2015,,Terminated,
341,6374,13,8/17/2015,6/19/2020,Graduated,10/24/2020
342,6416,13,8/14/2017,5/16/2019,Graduated,6/15/2019
343,6436,13,8/13/2018,6/19/2020,Graduated,10/24/2020
344,6456,13,8/19/2019,5/20/2021,Graduated,10/23/2021
345,6475,13,8/1/2022,,In Process,
346,6475,13,8/15/2016,,Terminated,
347,6501,13,8/15/2016,6/19/2020,Graduated,10/24/2020
348,6527,13,8/15/2016,,Terminated,
349,6550,13,8/15/2016,,Terminated,
350,6566,13,8/1/2018,12/9/2020,Graduated,10/23/2021
351,6591,13,8/13/2018,6/19/2020,Graduated,10/24/2020
352,6612,13,8/13/2018,12/9/2020,Graduated,10/23/2021
353,6633,13,8/15/2016,5/16/2019,Graduated,6/15/2019
354,6655,13,8/13/2018,6/19/2020,Graduated,10/24/2020
355,6675,13,8/19/2019,12/9/2021,Graduated,10/15/2022
356,6698,13,8/13/2018,6/19/2020,Graduated,10/24/2020
357,6717,13,8/13/2018,12/9/2021,Graduated,10/15/2022
358,6745,13,8/19/2019,7/22/2022,Graduated,10/15/2022
359,6768,13,8/19/2019,5/20/2021,Graduated,10/23/2021
360,6787,13,8/1/2018,,Terminated,
361,6797,13,8/13/2018,12/9/2020,Graduated,10/23/2021
362,6820,13,8/1/2019,,Dropped,
363,6830,13,8/13/2019,7/23/2021,Graduated,10/23/2021
364,6850,13,1/17/2019,12/9/2021,Graduated,10/15/2022
365,6875,13,8/13/2018,6/19/2020,Graduated,10/24/2020
366,6897,13,8/1/2020,,Terminated,
367,6900,13,8/15/2016,6/19/2020,Graduated,10/24/2020
368,6921,13,8/1/2021,,In Process,
369,6942,13,8/1/2019,,Terminated,
370,6943,13,8/14/2017,,Dropped,
371,6943,13,8/1/2019,,In Process,
372,6966,13,8/14/2017,6/19/2020,Graduated,10/24/2020
373,6995,13,8/1/2020,,Terminated,
374,7003,13,8/14/2017,,Terminated,
375,7005,13,8/14/2017,,Terminated,
376,7007,13,8/14/2017,,Terminated,
377,7020,13,8/14/2017,12/9/2022,Graduated,
378,7051,13,8/14/2017,5/20/2021,Graduated,10/23/2021
379,7085,13,8/1/2019,,In Process,
380,7117,13,6/1/2019,12/9/2022,Graduated,
381,7144,13,8/19/2019,5/20/2022,Graduated,10/15/2022
382,7164,13,8/19/2019,5/20/2021,Graduated,10/23/2021
383,7183,13,8/13/2019,5/20/2021,Graduated,10/23/2021
384,7203,13,8/19/2019,12/9/2022,Graduated,
385,7233,13,8/17/2020,5/20/2022,Graduated,10/15/2022
386,7251,13,8/1/2018,,Dropped,
387,7266,13,8/14/2017,,Terminated,
388,7291,13,8/1/2022,,In Process,
389,7299,13,8/1/2021,,In Process,
390,7318,13,1/1/2021,,In Process,
391,7338,13,8/1/2018,,Dropped,
392,7338,13,8/15/2022,,In Process,
393,7355,13,8/1/2018,,Terminated,
394,7359,13,8/1/2022,,Dropped,
395,7363,13,8/1/2021,,In Process,
396,7381,13,8/1/2021,,In Process,
397,7400,13,8/1/2018,,Dropped,
398,7411,13,8/1/2018,,In Process,
